date,Bitcoin Searches,Ethereum Searches,Dogecoin Searches,Binance Coin Searches,Litecoin Searches,Height,Transaction Volume,Stripped Size,Size,Weight,Avg. Transaction Fee,Block Reward,Block Reward Tips
2009-01-01,0,0,0,0,0,2543,1,216,216,864,0.0,50.0,0.0
2009-02-01,0,0,0,0,0,5923,1,216,216,864,0.0,50.0,0.0
2009-03-01,0,0,0,0,0,9389,1,216,216,864,0.0,50.0,0.0
2009-04-01,0,0,0,0,0,12831,1,216,216,864,0.0,50.0,0.0
2009-05-01,0,0,0,0,0,16214,1,216,216,864,0.0,50.0,0.0
2009-06-01,0,0,0,0,0,18450,1,215,215,860,0.0,50.0,0.0
2009-07-01,0,0,0,0,0,20375,1,215,215,860,0.0,50.0,0.0
2009-08-01,0,0,0,0,0,21939,1,216,216,864,0.0,50.0,0.0
2009-09-01,0,0,0,0,0,24098,1,216,216,864,0.0,50.0,0.0
2009-10-01,0,0,0,0,0,26224,1,216,216,864,0.0,50.0,0.0
2009-11-01,0,0,0,0,0,28441,1,216,216,864,0.0,50.0,0.0
2009-12-01,0,0,0,0,0,32489,1,216,216,864,0.0,50.0,0.0
2010-01-01,0,0,0,0,0,37493,1,216,216,864,0.0,50.0,0.0
2010-02-01,0,0,0,0,0,43096,1,215,215,860,0.0,50.0,0.0
2010-03-01,0,0,0,0,0,48297,1,216,216,864,0.0,50.0,0.0
2010-04-01,0,0,0,0,0,53875,1,215,215,860,0.0,50.0,0.0
2010-05-01,0,0,0,0,0,58815,1,215,215,860,0.0,50.0,0.0
2010-06-01,0,0,0,0,0,63561,1,215,215,860,0.0,50.0,0.0
2010-07-01,0,0,0,0,0,71436,3,698,698,2792,0.0,50.0,0.0
2010-08-01,0,0,0,0,0,77452,1,216,216,864,0.0,50.0,0.0
2010-09-01,0,0,0,0,0,82997,1,215,215,860,0.0,50.0,0.0
2010-10-01,0,0,0,0,0,88892,1,216,216,864,0.0,50.0,0.0
2010-11-01,0,0,0,0,0,94801,1,215,215,860,0.0,50.0,0.0
2010-12-01,0,0,0,0,0,100409,3,631,631,2524,0.0,50.0,0.0
2011-01-01,0,0,0,0,0,105570,1,219,219,876,0.0,50.0,0.0
2011-02-01,0,0,0,0,0,111136,9,3207,3207,12828,0.0,50.0,0.0
2011-03-01,0,0,0,0,0,116038,11,3342,3342,13368,0.00224417,50.0,0.03
2011-04-01,0,0,0,0,0,121126,9,3041,3041,12164,0.0008221,50.0,0.01
2011-05-01,1,0,0,0,0,127865,12,4810,4810,19240,0.00106549,50.0,0.0205
2011-06-01,2,0,0,0,0,134121,8,7925,7925,31700,4.732e-05,50.0,0.0015
2011-07-01,1,0,0,0,0,139035,8,5559,5559,22236,0.0001574,50.0,0.0035
2011-08-01,1,0,0,0,0,143408,11,7970,7970,31880,0.00018821,50.0,0.006
2011-09-01,1,0,0,0,0,147565,29,12731,12731,50924,0.00044183,50.0,0.0225
2011-10-01,0,0,0,0,0,151314,97,29361,29361,117444,0.00011069,50.0,0.013
2011-11-01,0,0,0,0,0,155451,7,6024,6024,24096,0.00051235,50.0,0.01234555
2011-12-01,0,0,0,0,0,160036,36,30824,30824,123296,0.00023602,50.0,0.0291
2012-01-01,0,0,0,0,0,164780,12,3020,3020,12080,0.0,50.0,0.0
2012-02-01,0,0,0,0,0,169135,9,3954,3954,15816,0.0,50.0,0.0
2012-03-01,0,0,0,0,0,173804,1,217,217,868,0.0,50.0,0.0
2012-04-01,0,0,0,0,0,178014,67,25149,25149,100596,0.00050201,50.0,0.0505
2012-05-01,0,0,0,0,0,182428,512,216296,216296,865184,0.0002301,50.0,0.19907501
2012-06-01,0,0,0,0,0,186963,494,255250,255250,1021000,0.00038925,50.0,0.39742141
2012-07-01,0,0,0,0,0,191736,17,5868,5868,23472,0.00034083,50.0,0.008
2012-08-01,1,0,0,0,0,196615,32,14929,14929,59716,0.0,50.0,0.0
2012-09-01,1,0,0,0,0,201310,13,3612,3612,14448,0.00058832,50.0,0.0085
2012-10-01,0,0,0,0,0,205918,273,122433,122433,489732,0.00072591,50.0,0.3555001
2012-11-01,0,0,0,0,0,210349,600,199099,199099,796396,0.00093006,25.0,0.7407
2012-12-01,0,0,0,0,0,214562,260,111755,111755,447020,0.00048588,25.0,0.2172
2013-01-01,1,0,0,0,0,219006,243,164495,164495,657980,0.00029271,25.0,0.1926
2013-02-01,1,0,0,0,0,223664,549,245514,245514,982056,0.0004062,25.0,0.39891
2013-03-01,3,0,0,0,0,229007,659,249072,249072,996288,0.00053918,25.0,0.53718111
2013-04-01,8,0,0,0,1,233974,305,121989,121989,487956,0.00048923,25.0,0.23872222
2013-05-01,3,0,0,0,0,238951,605,248868,248868,995472,0.00044712,25.0,0.4451
2013-06-01,2,0,0,0,0,244159,237,112798,112798,451192,0.00036859,25.0,0.16630354
2013-07-01,2,0,0,0,0,249524,22,7184,7184,28736,0.00022968,25.0,0.0066
2013-08-01,2,0,0,0,0,255361,434,168706,168706,674824,0.00102575,25.0,0.69220004
2013-09-01,2,0,0,0,0,260988,476,211247,211247,844988,0.00035531,25.0,0.30023685
2013-10-01,3,0,0,0,0,267187,309,149249,149249,596996,0.00014131,25.0,0.08435884
2013-11-01,10,0,0,0,1,272380,703,249078,249078,996312,0.00034468,25.0,0.34341289
2013-12-01,12,0,1,0,2,277995,188,115716,115716,462864,0.00010573,25.0,0.04893998
2014-01-01,8,0,1,0,1,283467,82,174032,174032,696128,3.132e-05,25.0,0.021801
2014-02-01,8,0,1,0,1,288369,439,349225,349225,1396900,5.134e-05,25.0,0.0717107
2014-03-01,6,0,1,0,1,293482,490,326657,326657,1306628,7.051e-05,25.0,0.09213467
2014-04-01,3,0,0,0,0,298512,340,195560,195560,782240,7.036e-05,25.0,0.05504164
2014-05-01,3,0,0,0,0,303551,966,494792,494792,1979168,8.679e-05,25.0,0.17176366
2014-06-01,3,0,0,0,0,308671,216,109538,109538,438152,8.055e-05,25.0,0.03529275
2014-07-01,3,0,0,0,0,313403,38,15212,15212,60848,9.848e-05,25.0,0.0059925
2014-08-01,3,0,0,0,0,318530,206,87593,87593,350372,8.343e-05,25.0,0.02923313
2014-09-01,3,0,0,0,0,323268,429,229541,229541,918164,6.634e-05,25.0,0.06090727
2014-10-01,3,0,0,0,0,327938,60,29373,29373,117492,7.49e-05,25.0,0.00880073
2014-11-01,3,0,0,0,0,332362,336,172449,172449,689796,5.892e-05,25.0,0.04064413
2014-12-01,3,0,0,0,0,336860,16,5922,5922,23688,5.658e-05,25.0,0.00134015
2015-01-01,3,0,0,0,0,341391,740,448224,448224,1792896,6.725e-05,25.0,0.12057752
2015-02-01,3,0,0,0,0,345610,20,51675,51675,206700,3.43e-06,25.0,0.00071
2015-03-01,3,0,0,0,0,350161,2292,999972,999972,3999888,8.271e-05,25.0,0.33082983
2015-04-01,2,0,0,0,0,354415,1078,549366,549366,2197464,6.346e-05,25.0,0.13945102
2015-05-01,2,0,0,0,0,358880,926,464994,464994,1859976,7.333e-05,25.0,0.13639318
2015-06-01,2,0,0,0,0,363262,248,103494,103494,413976,9.595e-05,25.0,0.03972124
2015-07-01,3,0,0,0,0,367845,1,208,208,832,0.0,25.0,0.0
2015-08-01,3,0,0,0,0,372440,1264,641674,641674,2566696,9.879e-05,25.0,0.25357151
2015-09-01,2,0,0,0,0,376909,368,215605,215605,862420,8.105e-05,25.0,0.06990233
2015-10-01,2,0,0,0,0,381469,180,103307,103307,413228,8.948e-05,25.0,0.03697377
2015-11-01,3,0,0,0,0,386118,47,49779,49779,199116,1.02e-05,25.0,0.00203068
2015-12-01,3,0,0,0,0,391181,308,184147,184147,736588,6.564e-05,25.0,0.04834918
2016-01-01,3,0,0,0,0,396048,1376,995092,995092,3980368,7.351e-05,25.0,0.29261077
2016-02-01,3,0,0,0,0,400600,1087,999942,999942,3999768,7.265e-05,25.0,0.29057012
2016-03-01,3,0,0,0,0,405178,2700,999759,999759,3999036,0.00019951,25.0,0.79786134
2016-04-01,3,0,0,0,0,409637,637,306180,306180,1224720,8.701e-05,25.0,0.10655712
2016-05-01,3,0,0,0,0,414257,2967,988064,988064,3952256,0.00016846,25.0,0.66578661
2016-06-01,5,1,0,0,0,418722,2213,849231,849231,3396924,0.00013604,25.0,0.46212336
2016-07-01,3,0,0,0,0,423087,1605,998163,998163,3992652,0.0001346,12.5,0.53739964
2016-08-01,3,0,0,0,0,427736,823,949859,949859,3799436,6.357e-05,12.5,0.24152766
2016-09-01,3,0,0,0,0,432283,1066,437536,437536,1750144,0.00016637,12.5,0.29116486
2016-10-01,3,0,0,0,0,436827,233,146583,146583,586332,0.00020037,12.5,0.11748086
2016-11-01,4,0,0,0,0,441340,2262,998253,998253,3993012,0.00019268,12.5,0.76937443
2016-12-01,5,0,0,0,0,446032,1836,760929,760929,3043716,0.00018026,12.5,0.5486551
2017-01-01,6,0,0,0,0,450944,2452,999859,999859,3999436,0.00020028,12.5,0.8010224
2017-02-01,6,0,0,0,0,455199,2303,999085,999085,3996340,0.00034899,12.5,1.39469351
2017-03-01,7,1,0,0,0,459831,2540,998173,998173,3992692,0.00037429,12.5,1.49441895
2017-04-01,6,1,0,0,0,464269,325,99857,99857,399428,0.00037506,12.5,0.14981044
2017-05-01,15,3,0,0,1,469121,2157,998232,998232,3992928,0.00108739,12.5,4.34185873
2017-06-01,14,7,0,0,1,473592,205,998122,998122,3992488,5.468e-05,12.5,0.21831125
2017-07-01,12,4,0,0,1,478478,920,989177,989177,3956708,0.00015156,12.5,0.59968962
2017-08-01,19,3,0,0,1,482884,1012,999032,1000161,3997257,0.00012323,12.5,0.49256657
2017-09-01,21,3,0,0,1,487739,1346,984669,999298,3953305,0.0003514,12.5,1.38917235
2017-10-01,22,3,0,0,1,492557,2445,929560,999241,3787921,0.00053833,12.5,2.03916919
2017-11-01,43,5,0,0,2,496931,2325,990589,1021000,3992767,0.00036463,12.5,1.45588427
2017-12-01,100,9,1,0,10,501960,1717,993269,1013037,3992844,0.00064019,12.5,2.55616655
2018-01-01,56,8,2,1,3,507015,3598,986524,1033179,3992751,0.00049358,12.5,1.97074458
