Timestamp,avg-block-size,miners-revenue,n-transactions-per-block,transaction-fees,transaction-fees-usd,fee-per-transaction,fee-per-transaction-usd
1/17/2009 0:00,0.000215853,0,1,0,0,0,0
1/20/2009 0:00,0.000224728,0,1.00877193,0,0,0,0
1/23/2009 0:00,0.000229238,0,1.023809524,0,0,0,0
1/26/2009 0:00,0.000239948,0,1.010416667,0,0,0,0
1/29/2009 0:00,0.000227256,0,1.008264463,0,0,0,0
2/1/2009 0:00,0.000218204,0,1.008849558,0,0,0,0
2/4/2009 0:00,0.000215739,0,1,0,0,0,0
2/7/2009 0:00,0.00024031,0,1.031007752,0,0,0,0
2/10/2009 0:00,0.000215667,0,1,0,0,0,0
2/13/2009 0:00,0.000215903,0,1,0,0,0,0
2/16/2009 0:00,0.000244172,0,1.008196721,0,0,0,0
2/19/2009 0:00,0.000231048,0,1.008064516,0,0,0,0
2/22/2009 0:00,0.000228545,0,1.033057851,0,0,0,0
2/25/2009 0:00,0.000215867,0,1,0,0,0,0
2/28/2009 0:00,0.000224525,0,1.01010101,0,0,0,0
3/3/2009 0:00,0.000225429,0,1.019047619,0,0,0,0
3/6/2009 0:00,0.000215923,0,1,0,0,0,0
3/9/2009 0:00,0.000215713,0,1,0,0,0,0
3/12/2009 0:00,0.000219534,0,1.008474576,0,0,0,0
3/15/2009 0:00,0.000215967,0,1,0,0,0,0
3/18/2009 0:00,0.000230711,0,1.01754386,0,0,0,0
3/21/2009 0:00,0.000215863,0,1,0,0,0,0
3/24/2009 0:00,0.000215981,0,1,0,0,0,0
3/27/2009 0:00,0.000215953,0,1,0,0,0,0
3/30/2009 0:00,0.00021585,0,1,0,0,0,0
4/2/2009 0:00,0.000215887,0,1,0,0,0,0
4/5/2009 0:00,0.000231554,0,1.015384615,0,0,0,0
4/8/2009 0:00,0.000216,0,1,0,0,0,0
4/11/2009 0:00,0.000223333,0,1.008333333,0,0,0,0
4/14/2009 0:00,0.000215952,0,1,0,0,0,0
4/17/2009 0:00,0.000215857,0,1,0,0,0,0
4/20/2009 0:00,0.000327034,0,1.016806723,0,0,0,0
4/23/2009 0:00,0.00021568,0,1,0,0,0,0
4/26/2009 0:00,0.000232054,0,1.017857143,0,0,0,0
4/29/2009 0:00,0.000234094,0,1.0078125,0,0,0,0
5/2/2009 0:00,0.000231373,0,1.015873016,0.03,0,0.02953125,0
5/5/2009 0:00,0.000224667,0,1.007407407,0,0,0,0
5/8/2009 0:00,0.000215935,0,1,0,0,0,0
5/11/2009 0:00,0.000218858,0,1.008333333,0.1,0,0.099173554,0
5/14/2009 0:00,0.000221086,0,1.021582734,0,0,0,0
5/17/2009 0:00,0.000215961,0,1,0,0,0,0
5/20/2009 0:00,0.000215733,0,1,0,0,0,0
5/23/2009 0:00,0.000215935,0,1,0,0,0,0
5/26/2009 0:00,0.000215904,0,1,0,0,0,0
5/29/2009 0:00,0.00028084,0,1.009433962,0,0,0,0
6/1/2009 0:00,0.000219831,0,1.014084507,0,0,0,0
6/4/2009 0:00,0.000215938,0,1,0,0,0,0
6/7/2009 0:00,0.000215938,0,1,0,0,0,0
6/10/2009 0:00,0.000215927,0,1,0,0,0,0
6/13/2009 0:00,0.000215449,0,1,0,0,0,0
6/16/2009 0:00,0.000215732,0,1,0,0,0,0
6/19/2009 0:00,0.000215678,0,1,0,0,0,0
6/22/2009 0:00,0.000306382,0,1.013157895,0,0,0,0
6/25/2009 0:00,0.00024975,0,1.014705882,0,0,0,0
6/28/2009 0:00,0.000220739,0,1.02173913,0,0,0,0
7/1/2009 0:00,0.000219432,0,1.013513514,0,0,0,0
7/4/2009 0:00,0.000215876,0,1,0,0,0,0
